feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[1.2848418944302333, 2.177805500813834, 0.2137825648392824]","[0.9930310179373587, 1.3453946774031598, 0.3373092368329121]","[1.1335086653529531, 1.4757389677086643, 0.4623662669781203]","[18.276790545221164, 25.056450468471542, 6.108127986525541]","[array([1.28484189]), array([2.1778055]), array([0.21378256])]","[0.9193365602706036, 1.628698382204488, 0.15660422902807397]","[0.7924297599626283, 1.125302597488354, 0.2865288451297427]","[0.9588204004247113, 1.27620467880528, 0.39573252207529513]","[15.025444221414705, 21.707769482660524, 5.457981436617285]","[array([0.91933656]), array([1.62869838]), array([0.15660423])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011568865082436599, 0.030563827822478417, 0.004832601324501842]","[0.0729776241468337, 0.1269191460558057, 0.0499838413948496]","[0.10755865879805586, 0.17482513498487115, 0.06951691394546972]","[1.400347767851664, 2.451686675698551, 0.9654025526164453]","[array([0.01156887]), array([0.03056383]), array([0.0048326])]","[0.00702009251380389, 0.017924295869577386, 0.003324872633504537]","[0.060617697065413256, 0.09835679985609516, 0.04079276775204734]","[0.08378599234838656, 0.13388164874088376, 0.057661708555197505]","[1.208600714331028, 1.9588454462637843, 0.8187636724278179]","[array([0.00702009]), array([0.0179243]), array([0.00332487])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011591494949350504, 0.03336847778544857, 0.004814266645370915]","[0.07298115940597444, 0.13164325240810074, 0.049816477803500014]","[0.10766380519631703, 0.18267040752527094, 0.0693849165551917]","[1.4006526368038787, 2.5201818812275585, 0.962122384056454]","[array([0.01159149]), array([0.03336848]), array([0.00481427])]","[0.007036511782230786, 0.017794056355149336, 0.003307790412250629]","[0.06061589584421677, 0.09383065529194337, 0.040629606661373455]","[0.08388391849592379, 0.1333943640306791, 0.05751339332929878]","[1.2090159252445702, 1.8411122320672417, 0.8152619101813918]","[array([0.00703651]), array([0.01779406]), array([0.00330779])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011542001623862633, 0.028665803331161446, 0.004849882985984797]","[0.07299216392118056, 0.12301066389109079, 0.05016657423421862]","[0.1074337080429724, 0.1693097851016339, 0.0696411012691844]","[1.400043225222756, 2.369496222643391, 0.9688637290440313]","[array([0.011542]), array([0.0286658]), array([0.00484988])]","[0.006998258903341521, 0.01683419127339895, 0.0033123666910921893]","[0.06057208548115839, 0.09385178709231892, 0.040806415480505516]","[0.08365559696363131, 0.12974664262862046, 0.0575531640406693]","[1.2069338233981566, 1.8602996117793928, 0.8191673041920746]","[array([0.00699826]), array([0.01683419]), array([0.00331237])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011705388738171426, 0.031165364983851675, 0.00484360945494128]","[0.07390347712479407, 0.12847155163008897, 0.05036926450713597]","[0.10819144484741584, 0.17653714901926923, 0.06959604482254204]","[1.420266929483614, 2.471697758837043, 0.9770503703529632]","[array([0.01170539]), array([0.03116536]), array([0.00484361])]","[0.007212028459631665, 0.017984473090906672, 0.004042379737050259]","[0.06215945119671578, 0.09753552736995079, 0.043108022345371644]","[0.08492366254249557, 0.13410620079215826, 0.0635797116779422]","[1.2405507807214424, 1.9295235718163501, 0.8527474132267981]","[array([0.00721203]), array([0.01798447]), array([0.00404238])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011642239662721519, 0.011678514358208162, 0.00487735536017696]","[0.07360799328390616, 0.06849032513982209, 0.05048842381541151]","[0.10789921066774084, 0.10806717521156997, 0.06983806526656476]","[1.4133202628350823, 1.298041532096261, 0.9783818974764263]","[array([0.01164224]), array([0.01167851]), array([0.00487736])]","[0.007141304218507116, 0.009127532180037052, 0.004090936745358255]","[0.0616750866440332, 0.0640469508831372, 0.04333707397116867]","[0.08450623774909824, 0.0955381189894225, 0.06396043109109142]","[1.2298285659566142, 1.2628947665400116, 0.8556347962734665]","[array([0.0071413]), array([0.00912753]), array([0.00409094])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011479214954446032, 0.034619395527752415, 0.0053605667434984934]","[0.07289094473295467, 0.13433778678390093, 0.054940681852128435]","[0.10714109834440766, 0.18606288057469286, 0.07321589133172178]","[1.399955452668046, 2.586339206882261, 1.0673203328774206]","[array([0.01147921]), array([0.0346194]), array([0.00536057])]","[0.006998641590545542, 0.01898799428901729, 0.0034505547348277986]","[0.06090610297656, 0.10119097759645203, 0.04063092280948902]","[0.08365788421030944, 0.13779693134833335, 0.05874142264899446]","[1.2164526093915216, 2.008625941052291, 0.8191673503701652]","[array([0.00699864]), array([0.01898799]), array([0.00345055])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011471605001965828, 0.03464860906523959, 0.005367417690663503]","[0.0728608868806066, 0.13447457801165172, 0.05500847331696055]","[0.10710557876210663, 0.1861413684951295, 0.07326266232306537]","[1.3992158474801737, 2.589813091639729, 1.0682552192497594]","[array([0.01147161]), array([0.03464861]), array([0.00536742])]","[0.006990789694622278, 0.01907140179020156, 0.003446556575113308]","[0.0608513091192975, 0.1016536804717809, 0.040615988436450284]","[0.08361094243352528, 0.1380992461608736, 0.05870738092534284]","[1.2152137836241577, 2.0186241037065065, 0.8190205001230279]","[array([0.00699079]), array([0.0190714]), array([0.00344656])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011713251595062478, 0.03237834571342368, 0.00484988958842032]","[0.07394194436546986, 0.12922564569225703, 0.05048418310802858]","[0.10822777644885105, 0.1799398391502662, 0.06964114867246461]","[1.4211990893481756, 2.5017281661955484, 0.9796749653607175]","[array([0.01171325]), array([0.03237835]), array([0.00484989])]","[0.007221326179136487, 0.018595201038768033, 0.004054497202725249]","[0.06222442906852303, 0.10125480035931898, 0.04324309763283481]","[0.08497838654114637, 0.13636422198937678, 0.06367493386510306]","[1.2420204767883856, 2.0267058789966024, 0.8557731563876964]","[array([0.00722133]), array([0.0185952]), array([0.0040545])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011436521032762494, 0.03366372966740617, 0.00540106594435213]","[0.07268026316834784, 0.13269857966075937, 0.055237656042456534]","[0.10694167117060821, 0.18347678236606987, 0.07349194475826674]","[1.3949519708895166, 2.547858539482876, 1.073037285010604]","[array([0.01143652]), array([0.03366373]), array([0.00540107])]","[0.006953823405300849, 0.018346379906198362, 0.0034754443532999174]","[0.06054571128243226, 0.09820145140339216, 0.04086356823833675]","[0.08338958811087178, 0.13544880917231558, 0.058952899447778796]","[1.2085018454273027, 1.9390059769559123, 0.8238970019836452]","[array([0.00695382]), array([0.01834638]), array([0.00347544])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1]",[1],"[4488.831775560365, 9117.152887031458, 6128.678661263753]","[43.34417033921283, 61.11142724254317, 57.451114346263964]","[66.99874458197232, 95.48378337200228, 78.28587778944394]","[1.3222819459360353, 1.8366319136094822, 1.8309963646422975]","[array([4488.83177556]), array([9117.15288703]), array([6128.67866126])]","[2531.818807316788, 4140.418797619556, 2421.32876395841]","[38.72609189412539, 48.8506512139394, 38.12396117173722]","[50.317182028774106, 64.34608610956502, 49.20699913587914]","[0.7802839272975276, 0.9833351075347475, 0.762801559486366]","[array([2531.81880732]), array([4140.41879762]), array([2421.32876396])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1]",[1],"[4303.76844758594, 7988.500791379019, 4375.194437331903]","[43.79124665857788, 56.28501684225044, 49.005453103301676]","[65.60311309370874, 89.37841345302019, 66.14525256835825]","[1.343131131002611, 1.6692680219201266, 1.526471303220752]","[array([4303.76844759]), array([7988.50079138]), array([4375.19443733])]","[3122.4589452119735, 5513.372137645248, 3888.9418004007334]","[35.10759936684902, 46.97794130223437, 40.25011006425606]","[55.87896693042896, 74.25208507271192, 62.361380680680355]","[0.8549809664162626, 1.150830299923805, 0.9790406807610869]","[array([3122.45894521]), array([5513.37213765]), array([3888.9418004])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1]",[1],"[2855.8446111137787, 10028.750243046441, 2506.795295306108]","[35.84127245211438, 66.34634192436855, 36.542071960978724]","[53.44010302304608, 100.14364804143317, 50.06790683967234]","[1.1264765622514117, 1.992712776814888, 1.1170300544372733]","[array([2855.84461111]), array([10028.75024305]), array([2506.79529531])]","[2094.257836455254, 7980.136064773967, 3540.719833055611]","[27.5672971472823, 60.16753720805336, 41.72460414292745]","[45.763061921764525, 89.33160731104063, 59.503948045954154]","[0.6862407672565297, 1.4802113878163314, 1.0017966000286986]","[array([2094.25783646]), array([7980.13606477]), array([3540.71983306])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.011830900713347591, 0.01615756418043858, 0.0104969998286039]","[0.07944774323354721, 0.09227075033787739, 0.07890730526463154]","[0.10876994397970237, 0.12711240765731163, 0.10245486727629831]","[1.5100873264003893, 1.7527841913855806, 1.5335841243578012]","[array([0.0118309]), array([0.01615756]), array([0.010497])]","[0.007122436521204344, 0.013156656988157968, 0.007286087361910526]","[0.06479363210044979, 0.07742367131387012, 0.06535361530571919]","[0.08439452897673133, 0.11470247158696262, 0.08535858106781372]","[1.2895233740454013, 1.5248423613089317, 1.3219905592892456]","[array([0.00712244]), array([0.01315666]), array([0.00728609])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.00868407881454031, 0.011178681529173673, 0.005317641713594813]","[0.06232679186007851, 0.07694038496889688, 0.05148802553094103]","[0.09318840493613093, 0.1057292841608874, 0.07292216201947672]","[1.190419311433447, 1.492803560489294, 0.9891875034278862]","[array([0.00868408]), array([0.01117868]), array([0.00531764])]","[0.004631350850487029, 0.006006860740577846, 0.004098575807326539]","[0.0501503447855327, 0.058718362954342296, 0.04813753562756256]","[0.0680540289070899, 0.07750394016163208, 0.0640201203320217]","[1.013073928106957, 1.1920229068429857, 0.9719839187164083]","[array([0.00463135]), array([0.00600686]), array([0.00409858])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.008684009664266076, 0.01118250656762308, 0.005320265958449374]","[0.06231461811046509, 0.07695875705685463, 0.051346363080264426]","[0.09318803391136694, 0.10574737144545523, 0.07294015326587526]","[1.1901739897154664, 1.4931435751771513, 0.9859296779112032]","[array([0.00868401]), array([0.01118251]), array([0.00532027])]","[0.004630437665588447, 0.006008028347232897, 0.004075236729862212]","[0.05014142444162192, 0.05872882942734566, 0.0478558000595639]","[0.06804731931228773, 0.07751147235882504, 0.06383758085847405]","[1.012877985815069, 1.19224335487871, 0.9652124784594182]","[array([0.00463044]), array([0.00600803]), array([0.00407524])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.007578738796421845, 0.01056645729630049]","[0.05469911068449097, 0.07409671496537712]","[0.08705595210220748, 0.10279327456745646]","[1.0507753731207463, 1.4359539832802515]","[array([0.00757874]), array([0.01056646])]","[0.004215293175383266, 0.0060011869456531065]","[0.04496299027404258, 0.0584653158927936]","[0.06492528918213046, 0.07746732824651374]","[0.910947771215058, 1.1879832667123722]","[array([0.00421529]), array([0.00600119])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.008216409950833685, 0.010205697016662983, 0.004800110514111896]","[0.05887588121411118, 0.07035218554501904, 0.048299642402875737]","[0.09064441489045912, 0.1010232498817128, 0.06928282986506755]","[1.1198031282800576, 1.3626915554560657, 0.9243067382597426]","[array([0.00821641]), array([0.0102057]), array([0.00480011])]","[0.004265555720600946, 0.005733799806496058, 0.0037392930879927544]","[0.04586512820924637, 0.0550606850474967, 0.044833010738464546]","[0.0653112220112359, 0.07572185818174339, 0.06114975950887096]","[0.9215044837903144, 1.1111865645643957, 0.9048061189360657]","[array([0.00426556]), array([0.0057338]), array([0.00373929])]"
